periode_data;gedung;kabupaten_kota;kecamatan;kelurahan;rw;alamat;status_rw_kumuh;isp;skema_penyediaan;jumlah_wifi;longitude;latitude;besaran_bandwidth;status
202303;RW TERPADU;Jakarta Barat;Grogol Petamburan;Wijaya Kusuma;7;Jl Wijaya 8 RT 07 RW 07 Patokan puskesmas , Kel. Wijaya Kusuma, Kec. Grogol Petamburan, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.151117;106.78;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Grogol Petamburan;Wijaya Kusuma;7;Jl Kebon Pisang Rt 04 Rw 07 RT 04 / RW 07 Posyandu anggrek 2 Wijaya Kusuma , Kel. Wijaya Kusuma, Kec. Grogol Petamburan, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.153884;106.779813;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Grogol Petamburan;Wijaya Kusuma;7;Jl. Kebon Pisang  Wijaya Kusuma  RT 12 / RW 07 No. 66, Kel. Wijaya Kusuma, Kec. Grogol Petamburan, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.154004;106.77998;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Grogol Petamburan;Wijaya Kusuma;8;Jl.Pangeran Tubagus Angke Rt 003/08 Kel.Wijaya Kusuma Jakbar RT 003/08 Di depan rumah no.3, Kel. Wijaya Kusuma, Kec. Grogol Petamburan, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.157298;106.768748;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Kalideres;1;Gang Madrasah Rt 03 Rw 01 18, Kel. Kalideres, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1546667;106.7079641;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Kalideres;1;Gang Madrasah Rt 05 Rw 01 12, Kel. Kalideres, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1532554;106.7060731;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Kalideres;1;Jalan Petaselatan  Rt 08 Rw 01 32, Kel. Kalideres, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1529617;106.7040135;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Kalideres;1;Jalan Penda 3 Rt 07 Rw 01 90, Kel. Kalideres, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.153963;106.704941;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Kalideres;13;Jalan Gang Gondang 3 Rt 06 Rw 13 79, Kel. Kalideres, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1330087;106.6901199;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Kalideres;13;Gang Hikmah Rt 07 rw 013 69, Kel. Kalideres, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1331652;106.6892891;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Kalideres;13;Gang Bersama 2 Rt 10 Rw 13 41, Kel. Kalideres, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.13474;106.689266;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Kamal;5;Jalan Mesjid Baitul Mutaqin Rt05  rw 05 2, Kel. Kamal, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.107714;106.698877;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Kamal;5;Jalan Sekolah  Rt 02 Rw 05 32, Kel. Kamal, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1049918;106.6999207;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Kamal;5;Jalan Bendaraya  Rt 08 rw 05 07, Kel. Kamal, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1081663;106.6981174;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Pegadungan;5;Pesantren Nurul Janah Rt 02 Rw 05 37, Kel. Pegadungan, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1279155;106.6940736;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Pegadungan;5;Jalan Tj Pura V Rt 04 rw 05 95, Kel. Pegadungan, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.127966;106.69559;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Semanan;10;Jalan Cemp 09/10 4, Kel. Semanan, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.166273;106.700192;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Semanan;10;Jalan Kampung Pangkalan  04/10 41, Kel. Semanan, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.163575;106.700282;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Tegal Alur;8;Jl. Kapuk Kayu Besar Gg Tkc (H. Miin. S)  08/08 21, Kel. Tegal Alur, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.112725;106.722349;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Tegal Alur;8;Jl. Kapuk Kayu Besar Gg Tkc 07/08 17, Kel. Tegal Alur, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.113676;106.722162;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kalideres;Tegal Alur;8;Jl Kayu Besar Gg Damai (Belakang Paud Tulip 08) 03/08 21, Kel. Tegal Alur, Kec. Kalideres, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.115484;106.723743;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kebon Jeruk;Duri Kepa;2;Jl Guji Baru Gang Beringin 3 Rt 05/rw 02 No. 75, Kel. Duri Kepa, Kec. Kebon Jeruk, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.183791;106.78091;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kebon Jeruk;Duri Kepa;2;Jl Patra Kp Guji Gang Langgar  RT 3/2  143, Kel. Duri Kepa, Kec. Kebon Jeruk, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.182399;106.7789752;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kebon Jeruk;Kedoya Utara;2;Sampong Poskamling 9/2 09, Kel. Kedoya Utara, Kec. Kebon Jeruk, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.160165;106.764769;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kebon Jeruk;Kedoya Utara;2;Jalan Panjang Masuk Gg Samping Rel 12/2 91, Kel. Kedoya Utara, Kec. Kebon Jeruk, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.15928;106.76271;10-50 Mbps;online
202303;MOLECOOL;Jakarta Barat;Kalideres;Pegadungan;17;APT Permata Surya 1 Tower G 501  505 RT.010/017 Pegadungan Kalideres;Non Kumuh;Bali Tower;Part Of Jakwifi Molecool;2;-6.182950452;106.8274192;10-30- Mbps;online
202303;RW TERPADU;Jakarta Barat;Kebon Jeruk;Kedoya Utara;8;Jalan Green Garden Samping Rel, Deket Warkop Putera Sumedang 4/8 22, Kel. Kedoya Utara, Kec. Kebon Jeruk, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1602475;106.762255;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kebon Jeruk;Kedoya Utara;8;Jl Pengairan Pesing Koneng 7/8 51b, Kel. Kedoya Utara, Kec. Kebon Jeruk, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.161056;106.764377;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kembangan;Meruya Selatan;1;Jalan Swadaya 01/01 79, Kel. Meruya Selatan, Kec. Kembangan, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.204782;106.738789;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kembangan;Meruya Selatan;1;Jl. H. Rusini 04/01 54, Kel. Meruya Selatan, Kec. Kembangan, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.208194;106.740789;10-50 Mbps;online
